epoch,val_loss,val_auc,val_rmse_log
0,0.8436717933670088,0.8111128699520056,0.7301704287528992
1,0.8344140351833522,0.8158075049823084,0.7201148867607117
2,0.814653297138643,0.8253357337944441,0.7041112780570984
3,0.805736532334883,0.8324752013622901,0.7005017399787903
4,0.7994349248498593,0.8355217055939168,0.6929512023925781
5,0.7973614014972691,0.8372299407328023,0.6932302117347717
6,0.7956230838234447,0.8397294633005756,0.6958712935447693
7,0.7916378781219865,0.8404250672836874,0.6877913475036621
8,0.7863912649076705,0.8402648072490317,0.6850243210792542
9,0.785334913213813,0.8410122227207802,0.6838164329528809
10,0.7833922026334904,0.8416148040822216,0.6826843023300171
11,0.7849889398561607,0.8415974966719715,0.6850669384002686
12,0.7902111962089061,0.8403855688866685,0.6891984939575195
13,0.7852314701631946,0.8418195658727006,0.684004008769989
14,0.7819735433968247,0.841503862708636,0.6804038286209106
15,0.7823773438370722,0.8411584411075014,0.6781002283096313
16,0.7804852700383131,0.8413360933040241,0.6763505935668945
17,0.785368400181766,0.8401013161060553,0.6834314465522766
18,0.7798489727383414,0.8415646503352169,0.6749786138534546
19,0.7834939398189447,0.8419191132388724,0.6801401972770691
20,0.7804766184475753,0.8410004953570055,0.6747638583183289
21,0.7803483832324289,0.8415130309502457,0.6778866052627563
22,0.7793707328451325,0.8416738443187931,0.6733865737915039
23,0.777457745858082,0.8424592213582356,0.6717162728309631
24,0.7769754503558302,0.8423142467485809,0.6704334020614624
25,0.7800314058133127,0.841910853157925,0.6757029294967651
26,0.7770712575370454,0.8429024451955759,0.673452615737915
27,0.7785051406042934,0.8427414148628883,0.6743910908699036
28,0.7772360274358548,0.8414090053086221,0.6697520613670349
29,0.7756882750582211,0.842291312207624,0.6694096326828003
30,0.7782495327757495,0.8428257845327815,0.6724545359611511
31,0.7774168581539662,0.8426802893598604,0.6745054125785828
32,0.7764282132209155,0.8427198103573105,0.6708744764328003
33,0.775470676351205,0.8428328965118215,0.6700848340988159
34,0.775726732524014,0.842583651045864,0.6687256693840027
35,0.7754437703249581,0.842545560655712,0.6695780754089355
36,0.7749973601321334,0.8428866829014755,0.6677767634391785
37,0.7735655382641756,0.8432010906841558,0.667249321937561
38,0.7734987230270168,0.8425595476859378,0.6665601134300232
39,0.7751525061628682,0.8428301004618024,0.6693142056465149
40,0.7742426662310923,0.8427289785989202,0.6674177646636963
41,0.7733655559830143,0.8434022153118992,0.6661258339881897
42,0.7747229484835774,0.8426377625050543,0.6685786843299866
43,0.774500567683425,0.843322693057835,0.6697893142700195
44,0.7766270111537034,0.8417510432485251,0.667935848236084
45,0.7744187656227046,0.8423915948411589,0.6664842367172241
46,0.770935268003508,0.8436075699870248,0.6639893054962158
47,0.7702414696644309,0.8440135144130209,0.6634835600852966
48,0.7727198593816902,0.8435570218624947,0.6653280258178711
49,0.7723260575884282,0.843763294115129,0.6660718321800232
