epoch,val_loss,val_auc,val_rmse_log,log_var_churn,log_var_ltv
0,1.2520129529245394,0.9047668731939086,1.792405605316162,-0.5424149632453918,0.2911652624607086
1,0.938995132052133,0.9092130331137084,1.758703351020813,-1.0033773183822632,0.5529244542121887
2,0.7983177864494926,0.9128351657890541,1.7437083721160889,-1.3418511152267456,0.761653482913971
3,0.743598635189374,0.9150404529938037,1.7302290201187134,-1.5293265581130981,0.9144050478935242
4,0.7136205780940543,0.9177747431305789,1.7099982500076294,-1.6025898456573486,1.0155309438705444
5,0.6996564187674241,0.9204419919252167,1.7019526958465576,-1.6287678480148315,1.0707433223724365
6,0.6897565110089461,0.921790470514358,1.6921560764312744,-1.6418691873550415,1.0908303260803223
7,0.6811657710752093,0.9241597437517128,1.6868268251419067,-1.652709722518921,1.0895925760269165
8,0.6709820001372506,0.925224737600035,1.6789937019348145,-1.6629462242126465,1.0816763639450073
9,0.6615082088996873,0.926373508920854,1.66824209690094,-1.6666127443313599,1.0724174976348877
10,0.6620375450406317,0.9267938683549388,1.6715857982635498,-1.6743321418762207,1.0653305053710938
11,0.6547742287575616,0.9276626651373729,1.6643346548080444,-1.672163724899292,1.0595537424087524
12,0.6476128971020181,0.928121937537882,1.6553853750228882,-1.689318299293518,1.0512096881866455
13,0.6463382806486593,0.9283058479468914,1.654331088066101,-1.6849044561386108,1.046591877937317
14,0.6462963677648834,0.9288094437603046,1.654759407043457,-1.6827023029327393,1.0434366464614868
15,0.6396906263904223,0.9292013263964918,1.6477388143539429,-1.687374234199524,1.0469870567321777
16,0.6387507012966731,0.9292496615827459,1.6464295387268066,-1.696528673171997,1.0310717821121216
17,0.6363158415847452,0.9298686161924679,1.6457476615905762,-1.69280207157135,1.0414633750915527
18,0.6342109478218765,0.9296965740602353,1.6419683694839478,-1.7026711702346802,1.0302084684371948
19,0.6328910256159539,0.9302352105414599,1.6422946453094482,-1.6943050622940063,1.0374454259872437
20,0.6307448992586688,0.9304731681168218,1.6406837701797485,-1.6984652280807495,1.0246368646621704
21,0.6311070490028408,0.9306720665904641,1.6412303447723389,-1.6998356580734253,1.0259445905685425
22,0.6313022762251312,0.9305655669100974,1.6419672966003418,-1.705122709274292,1.0283687114715576
23,0.6290599389482153,0.9305124084651242,1.637894868850708,-1.6968638896942139,1.0268993377685547
24,0.6269610518691956,0.9309881199615593,1.6374056339263916,-1.7095787525177002,1.0159709453582764
25,0.6248951921823944,0.9313498767161935,1.634739637374878,-1.6980113983154297,1.024247646331787
26,0.6222012599000972,0.9315558603476821,1.6327072381973267,-1.7070447206497192,1.0157088041305542
27,0.6227744456089298,0.9316122394151881,1.6341369152069092,-1.7091742753982544,1.0179821252822876
28,0.6239529468095837,0.9313571196983944,1.634600281715393,-1.7054622173309326,1.0168575048446655
29,0.6207053413359332,0.9318445957698016,1.6316931247711182,-1.7074800729751587,1.0163390636444092
30,0.6199807723645389,0.9320088174361973,1.630961298942566,-1.698849081993103,1.0152193307876587
31,0.6229593835553584,0.9316240033726251,1.6340500116348267,-1.7087544202804565,1.0167664289474487
32,0.6202292243755293,0.9318947184558164,1.6311924457550049,-1.7140651941299438,1.0096526145935059
33,0.6252467901951277,0.9314673671558111,1.6366381645202637,-1.7124276161193848,1.0059412717819214
34,0.6171108282357378,0.93218018469067,1.627625823020935,-1.713107705116272,1.011468529701233
35,0.6177829549558967,0.9322153220027409,1.6286029815673828,-1.715019941329956,1.0103589296340942
36,0.6196213232054144,0.9319852177549107,1.6308950185775757,-1.71535325050354,1.0089761018753052
37,0.6167545024830015,0.9323834215696762,1.6281217336654663,-1.7151522636413574,1.0103788375854492
38,0.6156654088416386,0.9323835866280145,1.6262853145599365,-1.7107709646224976,1.0069395303726196
39,0.6192352195558526,0.9323461191791764,1.6314334869384766,-1.7125550508499146,1.0049487352371216
40,0.6157147082997265,0.932372172416052,1.6264787912368774,-1.7113851308822632,1.0063958168029785
41,0.6136991824025215,0.9327620818508204,1.6250656843185425,-1.7156485319137573,1.0163352489471436
42,0.6146909442230095,0.9325946407528525,1.6256963014602661,-1.716925859451294,1.0013728141784668
43,0.6126778549758842,0.9328694173650873,1.6246631145477295,-1.7129029035568237,1.0116586685180664
44,0.6135163814703737,0.9329472814527897,1.6256681680679321,-1.7099517583847046,1.009423017501831
45,0.6147518070431172,0.9325912951676596,1.6262953281402588,-1.716728687286377,1.0033608675003052
46,0.6120273535931612,0.9329128422201582,1.6240686178207397,-1.7202049493789673,1.004227638244629
47,0.6142562721701745,0.9329108125142683,1.6268343925476074,-1.7177237272262573,1.0044896602630615
48,0.6123560540146438,0.9329154719497194,1.6242427825927734,-1.7205054759979248,1.004399299621582
49,0.6096625106428816,0.9331717525885891,1.6214278936386108,-1.7216320037841797,1.008711338043213
