epoch,val_loss,val_auc,val_rmse_log
0,0.6632218853960232,0.8038142614475247,0.7210661172866821
1,0.6570394744486621,0.8067907973807236,0.7183777689933777
2,0.6389223824044241,0.8143066193832799,0.7050150036811829
3,0.6282228913497041,0.8184878946579496,0.6959468722343445
4,0.6219028755956422,0.8269600403485198,0.692326009273529
5,0.617749877812175,0.8290722758996402,0.69095379114151
6,0.6213073060313087,0.8346805009692049,0.6959823966026306
7,0.607744817919774,0.8365020264198302,0.6837103366851807
8,0.6059122067686693,0.8377154247398599,0.6841714382171631
9,0.6017493211430671,0.838109670805968,0.6801106333732605
10,0.6011164886444482,0.8390965634606145,0.6804338693618774
11,0.604257890951142,0.8392466129971061,0.6836695671081543
12,0.6031890788553896,0.8390338630842025,0.6817114353179932
13,0.6050664633463674,0.8387522986248861,0.6827205419540405
14,0.5955225939010795,0.8395178697764039,0.6750505566596985
15,0.5943687442728252,0.8402641243393341,0.6734007596969604
16,0.5917200899061715,0.8398454396735695,0.6712847352027893
17,0.5937207599179735,0.8405416282545028,0.6736404895782471
18,0.5893377093321464,0.8397184052862396,0.6684926152229309
19,0.5966013344664116,0.8393292932847635,0.6747032403945923
20,0.5911241584291103,0.8386003480154527,0.6695988774299622
21,0.5917868398758841,0.8408226574602725,0.6717756390571594
22,0.58867559523699,0.8405872385614789,0.6683958172798157
23,0.5863844311138087,0.8399888183161043,0.6649643182754517
24,0.5879239641453926,0.8409944003973716,0.6677859425544739
25,0.5859458651305909,0.8408901487514356,0.6652331352233887
26,0.5858252747678846,0.840986352760478,0.665780782699585
27,0.5866225528637803,0.8397951725477347,0.6655445694923401
28,0.5844795772853884,0.8406885702316979,0.6644089818000793
29,0.5862674522937761,0.8397800332721892,0.6651226282119751
30,0.5881740913025977,0.8405775829039019,0.6674719452857971
31,0.5863482795033628,0.8418192264895581,0.6664872169494629
32,0.5808471579428116,0.841648800404253,0.6607428789138794
33,0.5855452813352372,0.8420531379395872,0.6660811901092529
34,0.5809644329824815,0.8418788904980321,0.6610540747642517
35,0.5838431554150706,0.8410373950811045,0.6633054614067078
36,0.5819089334280327,0.8420232281521995,0.6617609262466431
37,0.5779041124285829,0.8407785180646968,0.6570281386375427
38,0.5807878568852941,0.8409230018683196,0.6602737307548523
39,0.5824956833486254,0.8414070360577127,0.6624405384063721
40,0.5802318885019998,0.8407121767588105,0.6597119569778442
41,0.5820627118557655,0.8416305287089365,0.6617461442947388
42,0.5826412391547342,0.8395568453501133,0.6608626246452332
43,0.578770658193426,0.8420436532919403,0.6588512659072876
44,0.578074303795319,0.841524183509719,0.6578001976013184
45,0.5759645536475907,0.8420852776361917,0.6562053561210632
46,0.5751444165320369,0.8430246754845698,0.6556038856506348
47,0.5745899162993457,0.8428041747537697,0.6551224589347839
48,0.5762592830284339,0.8428216079730868,0.656555712223053
49,0.5733696802596974,0.8428844364186094,0.6535735726356506
