epoch,train_loss,val_loss,val_auc,val_rmse_log,lr
0,3.2998204163477403,0.5253848019071404,0.5330502385988172,0.7248343229293823,0.001
1,0.6800474869533818,0.5028663499604716,0.5,0.7091307044029236,0.001
2,0.6129398294552966,0.4918349446250846,0.5,0.7013094425201416,0.001
3,0.5558022319117037,0.49261515398257305,0.5,0.7018654942512512,0.001
4,0.5225631247133433,0.48175403613987844,0.5,0.6940850615501404,0.001
5,0.5099606670353584,0.4833819207735985,0.5,0.6952567100524902,0.001
6,0.5048414365877182,0.47779608838139115,0.5,0.691227912902832,0.001
7,0.500996107126901,0.4821593558770691,0.5,0.6943769454956055,0.001
8,0.4975092972868576,0.47853513624070393,0.5,0.6917623281478882,0.001
9,0.49570663533125225,0.4718213054787093,0.5,0.6868924498558044,0.001
10,0.49408410570025973,0.47276804687769697,0.5,0.6875813007354736,0.001
11,0.4913548069735919,0.4653247798547275,0.5,0.6821471452713013,0.001
12,0.48785886208990953,0.4645104695554226,0.5,0.6815500259399414,0.001
13,0.48557452663405426,0.4640076679000122,0.5,0.6811810731887817,0.001
14,0.4842622968054622,0.4632557725296479,0.5,0.6806290149688721,0.001
15,0.4813598612287367,0.46011781517380723,0.5,0.6783198118209839,0.001
16,0.47921539910728733,0.45975396900076476,0.5,0.6780515909194946,0.001
17,0.4782312964893316,0.4552122188939878,0.5,0.6746941804885864,0.001
18,0.4757718364332053,0.45202918979758877,0.5,0.6723311543464661,0.001
19,0.4741058187820794,0.45383274267468016,0.5,0.6736710667610168,0.001
20,0.47361800469988685,0.44969031613785837,0.5,0.6705895066261292,0.001
21,0.4710525970569551,0.4492399373478068,0.5,0.6702536344528198,0.001
22,0.4712503369813022,0.44878366003984793,0.5,0.6699131727218628,0.001
23,0.46959800826794706,0.44714527514071467,0.5,0.6686891913414001,0.001
24,0.46892033125664706,0.44859935202437856,0.5,0.6697756052017212,0.001
25,0.4670838888451387,0.4409757652610232,0.5,0.6640600562095642,0.001
26,0.4661503978017395,0.4413209118818427,0.5,0.6643198728561401,0.001
27,0.46531463854826244,0.44381446931303564,0.5,0.6661940813064575,0.001
28,0.46374189762934304,0.441903082926161,0.5,0.6647579073905945,0.001
29,0.46338341940250116,0.4384557119820668,0.5,0.6621598601341248,0.001
30,0.4627364966810649,0.4464888737716178,0.5,0.6681982278823853,0.001
31,0.4621421661112273,0.43735528648884103,0.5,0.6613284349441528,0.001
32,0.4614777095061592,0.43925080869411387,0.5,0.6627599596977234,0.001
33,0.46084437306582887,0.43707703192457825,0.5,0.6611180305480957,0.001
34,0.4598219540299735,0.43533406856717305,0.5,0.6597985029220581,0.001
35,0.45855049832835254,0.43874624094755615,0.5,0.6623792052268982,0.001
36,0.45829099000328416,0.4363970971281967,0.5,0.6606035828590393,0.001
37,0.4581702825870803,0.43936166780513936,0.5,0.6628435850143433,0.001
38,0.45621876156715957,0.43794830431870296,0.5,0.661776602268219,0.001
39,0.4584668473127389,0.4360297329660805,0.5,0.6603254675865173,0.001
40,0.4567157758010564,0.4313537006924356,0.5,0.6567752361297607,0.001
41,0.45710590282783253,0.4325687236804778,0.5,0.6576995849609375,0.001
42,0.45450716266877156,0.4337644061290515,0.5,0.6586079597473145,0.001
43,0.45496005328195993,0.4348861738357093,0.5,0.6594589948654175,0.001
44,0.45551934802453353,0.4339507720206942,0.5,0.6587494015693665,0.001
45,0.4538078762827239,0.4346099233329576,0.5,0.659249484539032,0.001
46,0.45356170088452585,0.4344472676695666,0.5,0.6591261625289917,0.0005
47,0.44780537494377515,0.43228126049553994,0.5,0.6574810147285461,0.0005
48,0.4471612805713046,0.4296926340697291,0.5,0.6555094122886658,0.0005
49,0.44586978742053157,0.42838537467075094,0.5,0.654511570930481,0.0005
