epoch,val_loss,val_auc,val_rmse_log
0,0.7532882445728089,0.8079663335749568,0.7230780720710754
1,0.7460735008630781,0.8125045442404605,0.7184809446334839
2,0.7297146327258341,0.8176884055325618,0.7036334872245789
3,0.7215486475344679,0.8244148965502287,0.6983999013900757
4,0.7115509527712776,0.8318414924268904,0.6929582953453064
5,0.7100965300766241,0.8342974364664568,0.6928523182868958
6,0.7079819843042965,0.8378596878126043,0.6950444579124451
7,0.7012653671824342,0.8388014349758107,0.6870428919792175
8,0.6971246273802225,0.8391483753259253,0.6847155690193176
9,0.6936152846125352,0.8396022021555857,0.6807403564453125
10,0.6929029719199977,0.8407120980339751,0.6814611554145813
11,0.6939018696014299,0.840281850234236,0.6830782294273376
12,0.6948448216053116,0.8405901924378432,0.6813324093818665
13,0.6949821846155699,0.8408794553573903,0.6828833818435669
14,0.6886432478459742,0.8411806136372514,0.6768107414245605
15,0.6884635935625935,0.8411051338469897,0.6757003664970398
16,0.6877207538373873,0.8405433666043397,0.6743176579475403
17,0.6933936408234552,0.8396656008853234,0.6814767718315125
18,0.6834249007320891,0.8419404958835504,0.6707329154014587
19,0.6910655843166276,0.842008659537543,0.6792859435081482
20,0.6875494830469421,0.8403058304218121,0.6739881038665771
21,0.687246111235043,0.841406895558365,0.6748934388160706
22,0.6839255652000108,0.8421368292198691,0.6710458993911743
23,0.6819717196277184,0.8423763956744705,0.6685150861740112
24,0.6840777319682529,0.8420718220927743,0.6710957288742065
25,0.6830112071141823,0.8419520239868562,0.6695830225944519
26,0.6816781446403731,0.8420746810473271,0.6682277321815491
27,0.6835799975972761,0.8418182124835427,0.6691921353340149
28,0.6786179469790541,0.8421318322645202,0.6649010181427002
29,0.6798687989341663,0.8415148600784815,0.6645077466964722
30,0.6821158259994986,0.8419576518709109,0.6671998500823975
31,0.6834720567663164,0.8419409799094529,0.6700809597969055
32,0.6788336378564863,0.8422644508417376,0.6643761992454529
33,0.6784211418177115,0.843172125971468,0.6650680899620056
34,0.6816535674838935,0.8428024962950754,0.6690266728401184
35,0.6812992075977669,0.8416034515089318,0.6665394306182861
36,0.6772407930289817,0.8432216939906294,0.6629994511604309
37,0.6758640258924039,0.8424270447475934,0.6610018014907837
38,0.676225005871212,0.8429990793661597,0.661986768245697
39,0.6765731767190132,0.8426536317745291,0.6614136099815369
40,0.6756867081367106,0.8425150060026859,0.6606642007827759
41,0.6776272317855585,0.8433288772891723,0.6637735366821289
42,0.6766860077356962,0.843065231581771,0.6618590354919434
43,0.6753998749405326,0.8437028696021436,0.6617581844329834
44,0.6792430802425379,0.842571015521427,0.6645575761795044
45,0.6759407307924129,0.8424941861087462,0.660761296749115
46,0.6746901589971397,0.8437392943405125,0.6606661081314087
47,0.6767219799816232,0.8431709688293881,0.6623420715332031
48,0.6740689537521816,0.8435127928185417,0.6597827672958374
49,0.6742188772855708,0.8435641594553569,0.659534215927124
