epoch,val_loss,val_auc,val_rmse_log
0,3.4465697612317143,0.9029256203018488,1.7996338605880737
1,3.2939996590060576,0.9070759405863109,1.7580264806747437
2,3.2786257472818243,0.9099569582787674,1.7543398141860962
3,3.1893080040145807,0.9111058975691622,1.7291221618652344
4,3.131610390031319,0.9132997844123816,1.7130450010299683
5,3.1239314860782788,0.9147538941627337,1.7112760543823242
6,3.091209979721649,0.9154519635894965,1.70193350315094
7,3.0352327935894587,0.9171752969431906,1.685843586921692
8,3.030464931573144,0.9180904226723265,1.684829831123352
9,2.9880573424780015,0.9191541453244291,1.6725982427597046
10,2.985879478309861,0.9205541085293703,1.6723041534423828
11,2.963507585662877,0.9209743148147241,1.6658791303634644
12,2.9757473757498767,0.9210571729537392,1.6695945262908936
13,2.936493845736919,0.9222807014103152,1.6580836772918701
14,2.930658138886723,0.9224249759838331,1.6560953855514526
15,2.92910055437114,0.9234107912325494,1.6563630104064941
16,2.911443823729128,0.9232850851486736,1.6510705947875977
17,2.9197040474704896,0.9239529643378934,1.6536848545074463
18,2.9098569261575684,0.9238423969531308,1.6506553888320923
19,2.9045056923690233,0.9237313775767079,1.6489440202713013
20,2.9015150340738005,0.9246161758431559,1.6484959125518799
21,2.897746655101807,0.9247383206015043,1.647428035736084
22,2.8919312554484136,0.9251481669398195,1.6456831693649292
23,2.875586233975422,0.9254693557777897,1.6409130096435547
24,2.8705359711923126,0.9254372070714532,1.6392639875411987
25,2.870181246026871,0.9259562543655608,1.639304280281067
26,2.8850088393563675,0.926124255038644,1.6439720392227173
27,2.8545505118652574,0.9258227295802346,1.6344918012619019
28,2.871915153106599,0.9263108945562728,1.6400455236434937
29,2.8613760439347273,0.926039864265469,1.6367645263671875
30,2.865183526961157,0.9263410414340227,1.6379164457321167
31,2.872879909468027,0.9265568141012528,1.6404211521148682
32,2.858479596831705,0.9269224969682821,1.6361116170883179
33,2.8796155371807943,0.9261560667471971,1.642237663269043
34,2.819453676762353,0.9284994532616333,1.6246507167816162
35,2.810429264271036,0.9285197223550109,1.6219043731689453
36,2.8149900582723038,0.9283971210175977,1.6233630180358887
37,2.804593187478102,0.9288266689344371,1.6202411651611328
38,2.8069786663136385,0.9291155065145233,1.621023178100586
39,2.8057338894647463,0.9289309178754201,1.6206320524215698
40,2.801621755641696,0.9287833667042139,1.619280457496643
41,2.8012586051078974,0.9289001829718261,1.6192623376846313
42,2.8101154879498966,0.9291076005200607,1.6220734119415283
43,2.795309350653013,0.9293012508266532,1.6176166534423828
44,2.798573411096116,0.928804056339066,1.6184321641921997
45,2.812892960023151,0.9290418246839973,1.62289297580719
46,2.7903121308750976,0.9293742719827291,1.6160008907318115
47,2.8039621927282963,0.9292993804889558,1.6202468872070312
48,2.7945525211333906,0.9294935579500652,1.6173549890518188
49,2.793150517218541,0.9292709000740662,1.6168766021728516
